timestamp,dpid,in_port,eth_src,dst_port,pkt_rate,byte_rate,inference_time_ms,mitigation_latency_ms,cpu_percent,predicted_label,action_taken,scenario
1787352026.792604,2,1,00:00:00:00:00:03,0,71776.0,3875904.0,5.008,0.0,89.1,Normal,ALLOW,ddos
1787352026.7989454,2,2,00:00:00:00:00:04,0,72511.0,3915594.0,4.52,0.0,89.1,Normal,ALLOW,ddos
1787352026.805059,2,3,00:00:00:00:00:01,0,72344.0,3906576.0,4.608,0.0,89.1,Normal,ALLOW,ddos
1787352026.8147976,2,1,00:00:00:00:00:03,0,71376.0,3854304.0,5.82,0.0,97.6,Normal,ALLOW,ddos
1787352026.8210022,2,2,00:00:00:00:00:04,0,74606.0,4028724.0,4.491,0.0,97.6,Normal,ALLOW,ddos
1787352026.827554,2,3,00:00:00:00:00:01,0,71922.0,3883788.0,5.041,0.0,97.6,Normal,ALLOW,ddos
1787352026.8352818,2,1,00:00:00:00:00:03,0,73038.0,3944052.0,4.545,0.0,88.8,Normal,ALLOW,ddos
1787352026.8425317,2,2,00:00:00:00:00:04,0,73033.0,3943782.0,5.564,0.0,88.8,Normal,ALLOW,ddos
1787352026.8507197,2,3,00:00:00:00:00:01,0,73574.0,3972996.0,5.412,0.0,88.8,Normal,ALLOW,ddos
1787352026.8600354,2,1,00:00:00:00:00:03,0,72728.0,3927312.0,5.859,0.0,129.4,Normal,ALLOW,ddos
1787352026.8667362,2,2,00:00:00:00:00:04,0,73837.0,3987198.0,4.813,0.0,129.4,Normal,ALLOW,ddos
1787352026.8728921,2,3,00:00:00:00:00:01,0,73269.0,3956526.0,4.407,0.0,129.4,Normal,ALLOW,ddos
1787352026.8814592,2,1,00:00:00:00:00:03,0,74139.0,4003506.0,4.444,0.0,90.2,Normal,ALLOW,ddos
1787352026.8873143,2,2,00:00:00:00:00:04,0,74556.0,4026024.0,4.272,0.0,90.2,Normal,ALLOW,ddos
1787352026.8936625,2,3,00:00:00:00:00:01,0,74691.0,4033314.0,4.784,0.0,90.2,Normal,ALLOW,ddos
1787352026.9011352,2,1,00:00:00:00:00:03,0,75140.0,4057560.0,4.263,0.0,96.1,Normal,ALLOW,ddos
1787352026.9071014,2,2,00:00:00:00:00:04,0,75439.0,4073706.0,4.502,0.0,96.1,Normal,ALLOW,ddos
1787352026.913526,2,3,00:00:00:00:00:01,0,75689.0,4087206.0,4.646,0.0,96.1,Normal,ALLOW,ddos
1787352026.9210413,2,1,00:00:00:00:00:03,0,74785.0,4038390.0,4.432,0.0,101.0,Normal,ALLOW,ddos
1787352026.9271393,2,2,00:00:00:00:00:04,0,71632.0,3868128.0,4.45,0.0,101.0,Normal,ALLOW,ddos
1787352026.9330945,2,3,00:00:00:00:00:01,0,75336.0,4068144.0,4.313,0.0,101.0,Normal,ALLOW,ddos
1787352026.9421477,2,1,00:00:00:00:00:03,0,71944.0,3884976.0,4.79,0.0,97.2,Normal,ALLOW,ddos
1787352026.9489586,2,2,00:00:00:00:00:04,0,69624.0,3759696.0,4.432,0.0,97.2,Normal,ALLOW,ddos
1787352026.9548688,2,3,00:00:00:00:00:01,0,72470.0,3913380.0,4.381,0.0,97.2,Normal,ALLOW,ddos
1787352026.9626057,2,1,00:00:00:00:00:03,0,73356.0,3961224.0,4.521,0.0,96.4,Normal,ALLOW,ddos
1787352026.968501,2,2,00:00:00:00:00:04,0,72757.0,3928878.0,4.406,0.0,96.4,Normal,ALLOW,ddos
1787352026.9744382,2,3,00:00:00:00:00:01,0,73897.0,3990438.0,4.4,0.0,96.4,Normal,ALLOW,ddos
1787352026.982788,2,1,00:00:00:00:00:03,0,75199.0,4060746.0,4.755,0.0,101.8,Normal,ALLOW,ddos
1787352026.9888802,2,2,00:00:00:00:00:04,0,75729.0,4089366.0,4.415,0.0,101.8,Normal,ALLOW,ddos
1787352026.995491,2,3,00:00:00:00:00:01,0,75751.0,4090554.0,4.77,0.0,101.8,Normal,ALLOW,ddos
1787352027.002927,2,1,00:00:00:00:00:03,0,71148.0,3841992.0,4.376,0.0,142.9,Normal,ALLOW,ddos
1787352027.009084,2,2,00:00:00:00:00:04,0,74359.0,4015386.0,4.65,0.0,142.9,Normal,ALLOW,ddos
1787352027.0158975,2,3,00:00:00:00:00:01,0,71682.0,3870828.0,4.87,0.0,142.9,Normal,ALLOW,ddos
1787352027.0232842,2,1,00:00:00:00:00:03,0,70541.0,3809214.0,4.325,0.0,98.0,Normal,ALLOW,ddos
